network_packet_size,network_packet_rate,network_protocol,hash_mismatch_rate,smart_contract_violation,transaction_latency_drift,device_activity_variance,vital_stats_stability,response_time_deviation,threat_label,trigger_reason
1264,127.81,1,0.174,0,0.417,0.299,0.669,0.476,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
1191,64.67,0,0.121,0,0.476,0.469,0.679,0.141,1,"hash_mismatch_rate, transaction_latency_drift"
1152,298.19,1,0.124,0,0.005,0.054,0.012,0.422,1,"network_protocol, hash_mismatch_rate, vital_stats_stability, response_time_deviation"
1238,241.64,1,0.082,0,0.422,0.871,0.359,0.238,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
473,498.17,0,0.188,0,0.02,0.816,0.777,0.075,1,"network_packet_rate, hash_mismatch_rate, device_activity_variance"
1342,295.17,1,0.086,0,0.336,0.744,0.707,0.444,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
615,397.77,1,0.06,0,0.117,0.315,0.361,0.16,1,"network_packet_rate, network_protocol, hash_mismatch_rate, vital_stats_stability"
850,150.07,0,0.186,1,0.122,0.787,0.472,0.041,1,"hash_mismatch_rate, smart_contract_violation, device_activity_variance"
640,13.91,1,0.037,1,0.181,0.261,0.044,0.023,1,"network_protocol, smart_contract_violation, vital_stats_stability"
405,424.1,1,0.031,0,0.082,0.982,0.639,0.366,1,"network_packet_rate, network_protocol, device_activity_variance, response_time_deviation"
1119,40.41,0,0.082,1,0.2,0.308,0.465,0.009,1,"hash_mismatch_rate, smart_contract_violation"
553,280.0,0,0.079,0,0.219,0.601,0.367,0.419,1,"hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
955,26.48,0,0.102,1,0.215,0.265,0.048,0.449,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1117,188.79,1,0.189,1,0.248,0.444,0.505,0.306,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
1113,125.67,0,0.129,0,0.441,0.792,0.905,0.106,1,"hash_mismatch_rate, transaction_latency_drift, device_activity_variance"
493,486.46,1,0.055,1,0.022,0.282,0.143,0.382,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
961,162.99,1,0.199,0,0.304,0.152,0.938,0.087,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift"
557,410.77,0,0.003,0,0.108,0.949,0.827,0.309,1,"network_packet_rate, device_activity_variance, response_time_deviation"
802,204.83,0,0.17,1,0.112,0.892,0.395,0.338,1,"hash_mismatch_rate, smart_contract_violation, device_activity_variance, vital_stats_stability, response_time_deviation"
367,448.01,1,0.162,1,0.384,0.29,0.852,0.317,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
977,365.49,1,0.075,1,0.142,0.124,0.793,0.138,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation"
1079,357.27,1,0.062,0,0.367,0.009,0.627,0.342,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
1308,427.77,0,0.184,0,0.141,0.274,0.488,0.319,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, response_time_deviation"
1034,52.55,0,0.086,1,0.302,0.662,0.631,0.427,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
1138,45.03,1,0.149,0,0.051,0.034,0.841,0.491,1,"network_protocol, hash_mismatch_rate, response_time_deviation"
722,474.02,1,0.163,0,0.178,0.708,0.4,0.319,1,"network_packet_rate, network_protocol, hash_mismatch_rate, device_activity_variance, response_time_deviation"
226,254.9,1,0.18,1,0.034,0.216,0.085,0.186,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, vital_stats_stability"
1095,91.04,1,0.014,0,0.295,0.116,0.207,0.433,1,"network_protocol, transaction_latency_drift, vital_stats_stability, response_time_deviation"
495,413.78,0,0.194,0,0.417,0.636,0.681,0.237,1,"network_packet_rate, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
1176,231.63,1,0.056,0,0.112,0.204,0.934,0.489,1,"network_protocol, hash_mismatch_rate, response_time_deviation"
211,209.99,0,0.123,1,0.418,0.001,0.519,0.125,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift"
348,257.28,0,0.081,0,0.034,0.147,0.262,0.409,1,"hash_mismatch_rate, vital_stats_stability, response_time_deviation"
1262,432.98,1,0.013,1,0.112,0.524,0.506,0.229,1,"network_packet_size, network_packet_rate, network_protocol, smart_contract_violation, response_time_deviation"
755,301.8,1,0.106,1,0.251,0.783,0.997,0.319,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
491,327.53,0,0.159,1,0.28,0.369,0.871,0.103,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift"
1295,472.76,1,0.154,1,0.085,0.615,0.851,0.072,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, device_activity_variance"
1250,116.23,0,0.078,0,0.314,0.157,0.124,0.403,1,"network_packet_size, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
453,115.23,0,0.138,0,0.386,0.526,0.878,0.147,1,"hash_mismatch_rate, transaction_latency_drift"
431,333.27,0,0.172,0,0.345,0.637,0.12,0.355,1,"network_packet_rate, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1157,315.62,1,0.107,1,0.467,0.469,0.573,0.492,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
611,413.55,1,0.175,0,0.453,0.958,0.992,0.066,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance"
315,481.36,1,0.152,1,0.439,0.869,0.363,0.492,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
655,374.7,0,0.127,0,0.15,0.59,0.631,0.022,1,"network_packet_rate, hash_mismatch_rate"
1166,360.97,1,0.05,1,0.473,0.287,0.21,0.165,1,"network_packet_rate, network_protocol, smart_contract_violation, transaction_latency_drift, vital_stats_stability"
1305,151.06,0,0.07,1,0.367,0.02,0.887,0.119,1,"network_packet_size, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift"
728,294.97,1,0.061,1,0.129,0.096,0.38,0.445,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
225,6.43,1,0.022,0,0.292,0.796,0.53,0.337,1,"network_protocol, transaction_latency_drift, device_activity_variance, response_time_deviation"
443,353.66,0,0.175,0,0.176,0.018,0.875,0.445,1,"network_packet_rate, hash_mismatch_rate, response_time_deviation"
1330,388.84,0,0.135,0,0.435,0.34,0.626,0.046,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, transaction_latency_drift"
1018,62.51,1,0.064,0,0.245,0.48,0.902,0.458,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
1216,96.08,0,0.106,1,0.257,0.725,0.329,0.025,1,"network_packet_size, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability"
1058,20.3,0,0.193,1,0.272,0.758,0.449,0.449,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
1262,439.7,0,0.129,0,0.128,0.544,0.384,0.154,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, vital_stats_stability"
705,248.0,0,0.134,0,0.079,0.218,0.914,0.445,1,"hash_mismatch_rate, response_time_deviation"
1255,103.09,0,0.03,0,0.258,0.722,0.702,0.461,1,"network_packet_size, transaction_latency_drift, device_activity_variance, response_time_deviation"
674,218.47,1,0.136,0,0.3,0.111,0.345,0.346,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
514,339.76,0,0.149,1,0.022,0.041,0.061,0.409,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
405,351.0,1,0.038,0,0.101,0.828,0.144,0.225,1,"network_packet_rate, network_protocol, device_activity_variance, vital_stats_stability, response_time_deviation"
1316,219.25,1,0.085,1,0.499,0.716,0.211,0.174,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability"
1274,140.58,1,0.123,1,0.435,0.306,0.783,0.334,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
460,97.95,0,0.107,1,0.139,0.469,0.739,0.227,1,"hash_mismatch_rate, smart_contract_violation, response_time_deviation"
1047,9.19,1,0.179,0,0.022,0.613,0.492,0.404,1,"network_protocol, hash_mismatch_rate, device_activity_variance, response_time_deviation"
629,202.63,0,0.051,1,0.242,0.532,0.624,0.253,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
1474,47.22,1,0.083,0,0.071,0.604,0.419,0.381,1,"network_packet_size, network_protocol, hash_mismatch_rate, device_activity_variance, response_time_deviation"
508,34.89,1,0.072,1,0.244,0.518,0.279,0.019,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability"
1467,248.4,1,0.131,0,0.291,0.107,0.04,0.375,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
984,264.98,1,0.197,1,0.019,0.776,0.347,0.419,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, device_activity_variance, vital_stats_stability, response_time_deviation"
936,480.13,0,0.174,0,0.384,0.06,0.011,0.047,1,"network_packet_rate, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability"
1088,238.8,1,0.001,1,0.204,0.057,0.731,0.02,1,"network_protocol, smart_contract_violation, transaction_latency_drift"
212,420.61,1,0.02,1,0.26,0.341,0.771,0.042,1,"network_packet_rate, network_protocol, smart_contract_violation, transaction_latency_drift"
780,193.29,1,0.005,1,0.263,0.448,0.43,0.441,1,"network_protocol, smart_contract_violation, transaction_latency_drift, response_time_deviation"
645,233.12,0,0.172,0,0.328,0.75,0.078,0.495,1,"hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
517,250.21,1,0.012,0,0.117,0.803,0.608,0.492,1,"network_protocol, device_activity_variance, response_time_deviation"
1068,179.97,1,0.038,1,0.263,0.203,0.15,0.394,1,"network_protocol, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1143,156.66,0,0.042,1,0.414,0.282,0.012,0.388,1,"smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1383,50.4,1,0.124,1,0.376,0.665,0.204,0.265,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1181,462.33,1,0.125,0,0.273,0.973,0.81,0.3,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
1085,138.73,1,0.002,0,0.438,0.914,0.115,0.46,1,"network_protocol, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1213,202.88,0,0.19,0,0.386,0.536,0.154,0.164,1,"network_packet_size, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability"
867,285.56,0,0.04,0,0.057,0.72,0.134,0.281,1,"device_activity_variance, vital_stats_stability, response_time_deviation"
1303,366.42,1,0.053,0,0.377,0.271,0.22,0.189,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability"
889,90.68,1,0.06,0,0.32,0.504,0.125,0.45,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
241,236.88,1,0.033,1,0.485,0.307,0.5,0.318,1,"network_protocol, smart_contract_violation, transaction_latency_drift, response_time_deviation"
1364,332.34,0,0.072,1,0.412,0.357,0.785,0.5,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
1334,330.35,1,0.144,1,0.346,0.75,0.547,0.3,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
575,63.07,0,0.074,1,0.16,0.139,0.706,0.448,1,"hash_mismatch_rate, smart_contract_violation, response_time_deviation"
1409,14.59,1,0.19,1,0.197,0.874,0.985,0.392,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, device_activity_variance, response_time_deviation"
380,136.95,1,0.084,0,0.379,0.076,0.367,0.23,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1153,381.38,0,0.081,0,0.12,0.128,0.446,0.385,1,"network_packet_rate, hash_mismatch_rate, response_time_deviation"
1202,492.9,0,0.109,1,0.206,0.972,0.091,0.207,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
549,441.23,1,0.002,0,0.441,0.749,0.504,0.236,1,"network_packet_rate, network_protocol, transaction_latency_drift, device_activity_variance, response_time_deviation"
609,395.98,1,0.0,0,0.45,0.38,0.277,0.38,1,"network_packet_rate, network_protocol, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1493,6.35,0,0.026,0,0.435,0.544,0.286,0.028,1,"network_packet_size, transaction_latency_drift, vital_stats_stability"
1260,371.64,0,0.052,1,0.042,0.931,0.484,0.463,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, smart_contract_violation, device_activity_variance, response_time_deviation"
1433,261.53,1,0.182,1,0.12,0.223,0.448,0.362,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, response_time_deviation"
1254,308.24,0,0.129,0,0.27,0.318,0.028,0.458,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
814,366.19,0,0.108,0,0.058,0.641,0.875,0.441,1,"network_packet_rate, hash_mismatch_rate, device_activity_variance, response_time_deviation"
886,302.91,1,0.142,0,0.042,0.292,0.423,0.207,1,"network_packet_rate, network_protocol, hash_mismatch_rate, response_time_deviation"
257,425.3,1,0.051,0,0.275,0.305,0.301,0.497,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1215,15.09,0,0.142,0,0.45,0.347,0.064,0.454,1,"network_packet_size, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
214,362.87,1,0.152,1,0.372,0.068,0.614,0.38,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
665,307.97,1,0.016,0,0.334,0.162,0.79,0.084,1,"network_packet_rate, network_protocol, transaction_latency_drift"
1008,72.64,0,0.191,1,0.09,0.076,0.873,0.177,1,"hash_mismatch_rate, smart_contract_violation"
1369,244.34,1,0.154,0,0.484,0.857,0.385,0.076,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability"
1475,151.83,0,0.019,1,0.06,0.169,0.655,0.123,1,"network_packet_size, smart_contract_violation"
1497,55.94,1,0.189,0,0.284,0.206,0.987,0.125,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift"
1376,322.24,1,0.041,1,0.052,0.413,0.444,0.359,1,"network_packet_size, network_packet_rate, network_protocol, smart_contract_violation, response_time_deviation"
1457,430.92,0,0.01,1,0.37,0.094,0.908,0.295,1,"network_packet_size, network_packet_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
1031,137.25,1,0.175,0,0.341,0.68,0.023,0.158,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability"
1053,78.11,1,0.148,0,0.101,0.955,0.461,0.309,1,"network_protocol, hash_mismatch_rate, device_activity_variance, response_time_deviation"
537,129.54,1,0.133,0,0.341,0.423,0.45,0.494,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
1024,374.88,1,0.073,1,0.244,0.259,0.06,0.05,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability"
1205,435.42,1,0.026,1,0.313,0.007,0.382,0.179,1,"network_packet_size, network_packet_rate, network_protocol, smart_contract_violation, transaction_latency_drift, vital_stats_stability"
1249,286.83,1,0.109,0,0.456,0.365,0.676,0.322,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
1425,125.8,1,0.086,1,0.139,0.47,0.711,0.263,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, response_time_deviation"
574,132.65,1,0.005,0,0.368,0.504,0.459,0.264,1,"network_protocol, transaction_latency_drift, response_time_deviation"
1198,187.62,0,0.151,1,0.204,0.76,0.632,0.423,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
252,484.55,1,0.122,0,0.381,0.499,0.185,0.205,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
352,239.68,1,0.056,0,0.473,0.467,0.171,0.001,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability"
289,39.88,0,0.097,1,0.033,0.819,0.129,0.056,1,"hash_mismatch_rate, smart_contract_violation, device_activity_variance, vital_stats_stability"
1136,325.22,1,0.007,1,0.228,0.83,0.554,0.394,1,"network_packet_rate, network_protocol, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
430,232.56,0,0.107,0,0.385,0.687,0.466,0.28,1,"hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
980,417.46,0,0.096,0,0.405,0.623,0.31,0.31,1,"network_packet_rate, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1093,456.91,0,0.173,0,0.018,1.0,0.027,0.191,1,"network_packet_rate, hash_mismatch_rate, device_activity_variance, vital_stats_stability"
988,458.33,0,0.095,0,0.331,0.114,0.34,0.127,1,"network_packet_rate, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability"
1419,182.05,1,0.008,0,0.175,0.146,0.272,0.325,1,"network_packet_size, network_protocol, vital_stats_stability, response_time_deviation"
1470,31.2,1,0.025,1,0.295,0.647,0.845,0.434,1,"network_packet_size, network_protocol, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
943,311.79,0,0.001,1,0.362,0.847,0.869,0.482,1,"network_packet_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
1470,416.77,0,0.112,1,0.21,0.625,0.451,0.005,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance"
1308,331.48,0,0.105,1,0.425,0.364,0.684,0.094,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift"
987,409.79,1,0.155,1,0.162,0.723,0.709,0.357,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, device_activity_variance, response_time_deviation"
229,194.39,1,0.091,1,0.363,0.412,0.759,0.223,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
942,99.37,1,0.052,0,0.307,0.363,0.754,0.313,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
331,369.67,0,0.163,1,0.263,0.425,0.266,0.481,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
774,8.92,0,0.023,0,0.043,0.68,0.128,0.05,1,"device_activity_variance, vital_stats_stability"
753,341.3,0,0.084,1,0.16,0.21,0.797,0.432,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, response_time_deviation"
558,426.04,1,0.025,0,0.448,0.07,0.293,0.245,1,"network_packet_rate, network_protocol, transaction_latency_drift, vital_stats_stability, response_time_deviation"
630,239.3,1,0.164,1,0.338,0.707,0.123,0.175,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability"
820,173.0,0,0.141,1,0.086,0.783,0.618,0.024,1,"hash_mismatch_rate, smart_contract_violation, device_activity_variance"
1366,336.67,1,0.03,1,0.357,0.414,0.564,0.388,1,"network_packet_size, network_packet_rate, network_protocol, smart_contract_violation, transaction_latency_drift, response_time_deviation"
805,12.0,1,0.001,1,0.404,0.549,0.616,0.141,1,"network_protocol, smart_contract_violation, transaction_latency_drift"
364,242.84,1,0.193,0,0.414,0.771,0.191,0.244,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1369,286.36,0,0.125,0,0.352,0.156,0.331,0.204,1,"network_packet_size, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
689,7.71,1,0.148,0,0.075,0.415,0.697,0.47,1,"network_protocol, hash_mismatch_rate, response_time_deviation"
445,72.4,0,0.154,0,0.084,0.431,0.028,0.061,1,"hash_mismatch_rate, vital_stats_stability"
745,85.24,0,0.015,1,0.039,0.376,0.588,0.286,1,"smart_contract_violation, response_time_deviation"
1394,47.45,1,0.112,1,0.013,0.013,0.36,0.427,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
981,267.68,0,0.12,1,0.484,0.637,0.819,0.191,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance"
959,390.44,0,0.053,0,0.164,0.329,0.876,0.376,1,"network_packet_rate, hash_mismatch_rate, response_time_deviation"
958,85.51,1,0.027,1,0.135,0.859,0.008,0.345,1,"network_protocol, smart_contract_violation, device_activity_variance, vital_stats_stability, response_time_deviation"
663,124.57,1,0.102,1,0.237,0.21,0.155,0.409,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1001,212.0,0,0.13,1,0.393,0.36,0.328,0.28,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
469,297.4,0,0.145,0,0.094,0.096,0.012,0.322,1,"hash_mismatch_rate, vital_stats_stability, response_time_deviation"
996,356.57,0,0.028,0,0.232,0.239,0.714,0.161,1,"network_packet_rate, transaction_latency_drift"
1016,150.87,1,0.19,0,0.314,0.152,0.329,0.487,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1313,291.89,0,0.078,1,0.055,0.722,0.759,0.064,1,"network_packet_size, hash_mismatch_rate, smart_contract_violation, device_activity_variance"
1487,404.98,0,0.178,1,0.264,0.984,0.768,0.029,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance"
677,335.6,1,0.165,0,0.081,0.324,0.233,0.498,1,"network_packet_rate, network_protocol, hash_mismatch_rate, vital_stats_stability, response_time_deviation"
362,210.99,0,0.077,1,0.265,0.685,0.227,0.398,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
685,314.49,0,0.019,0,0.383,0.255,0.318,0.048,1,"network_packet_rate, transaction_latency_drift, vital_stats_stability"
741,371.76,1,0.069,1,0.193,0.954,0.083,0.273,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, device_activity_variance, vital_stats_stability, response_time_deviation"
785,424.6,0,0.187,0,0.272,0.194,0.892,0.145,1,"network_packet_rate, hash_mismatch_rate, transaction_latency_drift"
432,198.59,0,0.07,1,0.473,0.202,0.027,0.097,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability"
436,260.24,0,0.152,0,0.005,0.41,0.392,0.144,1,"hash_mismatch_rate, vital_stats_stability"
1140,239.46,0,0.039,0,0.155,0.771,0.639,0.252,1,"device_activity_variance, response_time_deviation"
536,247.7,1,0.174,0,0.359,0.579,0.921,0.15,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift"
433,254.22,1,0.055,0,0.34,0.979,0.358,0.189,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability"
1473,109.36,0,0.07,0,0.419,0.14,0.051,0.349,1,"network_packet_size, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1119,182.29,1,0.142,1,0.461,0.773,0.714,0.377,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
1187,287.45,0,0.144,1,0.052,0.47,0.015,0.4,1,"hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
341,20.73,0,0.048,0,0.061,0.186,0.825,0.03,0,None
1082,302.55,0,0.186,1,0.012,0.93,0.629,0.16,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, device_activity_variance"
1312,323.28,1,0.111,1,0.162,0.265,0.091,0.209,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
913,75.48,1,0.169,1,0.391,0.516,0.794,0.121,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift"
203,219.28,0,0.008,1,0.048,0.069,0.377,0.152,1,"smart_contract_violation, vital_stats_stability"
1333,309.12,0,0.031,1,0.032,0.802,0.039,0.062,1,"network_packet_size, network_packet_rate, smart_contract_violation, device_activity_variance, vital_stats_stability"
1343,332.52,0,0.167,1,0.465,0.933,0.889,0.441,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
1356,435.31,1,0.063,1,0.005,0.997,0.233,0.187,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, device_activity_variance, vital_stats_stability"
447,334.66,0,0.173,1,0.399,0.3,0.392,0.361,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
946,471.64,0,0.113,1,0.135,0.859,0.86,0.394,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, device_activity_variance, response_time_deviation"
1056,140.0,1,0.019,1,0.331,0.89,0.779,0.085,1,"network_protocol, smart_contract_violation, transaction_latency_drift, device_activity_variance"
1290,487.53,1,0.08,1,0.475,0.232,0.509,0.216,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
528,280.89,0,0.0,1,0.471,0.242,0.805,0.362,1,"smart_contract_violation, transaction_latency_drift, response_time_deviation"
1002,464.97,0,0.028,0,0.284,0.96,0.647,0.281,1,"network_packet_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
1320,312.67,1,0.066,1,0.06,0.22,0.986,0.455,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, response_time_deviation"
1461,365.01,1,0.194,0,0.396,0.682,0.965,0.307,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
388,30.29,0,0.045,1,0.406,0.797,0.864,0.279,1,"smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
